Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SONACOMS,2023-03-17,410.52,414.98,403.18,410.03,3624778,2.4524,-0.061874,1,0.5955,-1,0.001194,0.010877,0.016706,0.057185,0.4786,1,-0.0224,0,0,0.0533,0.2233,LOW_QUALITY_FLAG
SONACOMS,2023-03-20,409.54,409.94,393.13,396.12,1790040,1.2113,-0.079395,0,-1.4866,-1,0.032768,0.00101,0.007548,0.121545,0.3392,0,0.1072,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-21,397.64,402.69,396.81,400.97,2179679,1.4701,-0.072006,0,0.6334,1,0.008374,0.00429,0.00207,0.081698,0.6635,0,0.1303,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-22,401.71,407.29,401.71,405.33,1256764,0.849,-0.050046,0,0.5896,1,0.009011,0.004836,0.0,0.089759,0.5092,0,0.1459,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-23,405.97,415.82,402.69,405.18,1654842,1.1167,-0.041528,0,0.0619,-1,0.001946,0.02431,0.006145,0.095233,0.7876,0,0.1424,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-24,405.72,410.33,398.52,402.44,1176131,0.7937,-0.027756,0,-0.2373,-1,0.008084,0.011455,0.009741,0.096072,0.7298,0,0.179,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-27,403.57,407.19,396.81,406.21,1343413,0.9066,0.033349,0,0.523,1,0.006542,0.002413,0.016642,0.125942,0.8826,0,0.1311,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-28,404.65,405.53,392.99,396.02,1970141,1.3244,-0.058244,0,-1.0925,-1,0.021327,0.002222,0.007651,0.097942,1.3309,0,0.1558,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-29,397.69,407.59,396.81,406.36,1781834,1.1941,-0.024566,0,1.2975,1,0.021801,0.003027,0.002166,0.076976,1.124,0,0.1411,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-03-31,409.54,415.91,403.67,405.14,1387772,0.9288,-0.020893,0,-0.0655,-1,0.010744,0.015723,0.003628,0.100889,0.9059,0,0.1774,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-03,407.29,413.61,406.41,411.46,1074114,0.7186,-0.012481,0,0.8027,1,0.010238,0.005225,0.002139,0.095764,0.7106,0,0.1596,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-05,412.48,415.82,410.62,413.22,928669,0.6213,0.010052,0,0.2772,1,0.001794,0.006292,0.004501,0.092062,0.6501,0,0.1556,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-06,413.17,418.07,408.76,414.74,755991,0.5057,0.006099,0,0.2489,1,0.0038,0.008029,0.010633,0.122832,0.6376,0,0.1478,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-10,417.38,418.36,409.45,410.28,589290,0.3954,-0.014349,0,-0.4334,-1,0.017011,0.002389,0.002023,0.084738,0.6222,0,0.1854,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-11,412.48,417.04,411.5,414.1,1076902,0.7218,-0.014616,0,0.5108,1,0.003927,0.0071,0.002367,0.075537,1.2168,0,0.1601,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-12,414.49,432.08,414.1,423.31,2123272,1.4204,0.001582,0,1.1189,1,0.021279,0.020718,0.000921,0.038532,1.9394,0,0.1192,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-13,425.47,436.88,422.28,435.36,2568253,1.7091,0.022203,0,1.3993,1,0.023245,0.003491,0.007327,-0.040345,1.8051,0,0.1269,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-17,434.92,452.9,428.75,449.91,3113424,2.0596,0.085503,0,1.6168,1,0.034466,0.006646,0.013714,0.020353,1.6436,0,0.0868,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-18,451.82,461.37,449.13,458.63,3283950,2.1575,0.089022,0,0.9564,1,0.015072,0.005974,0.005865,0.011354,1.3497,0,0.1241,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-19,459.42,459.42,447.8,455.35,1081397,0.71,0.103553,0,-0.2841,-1,0.008859,0.0,0.016581,-0.023931,0.4443,0,0.1474,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-20,451.68,470.14,451.68,467.99,3508797,2.2862,0.117594,0,1.3365,1,0.03611,0.004594,0.0,-0.035806,1.2942,0,0.0851,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-21,467.2,467.94,453.0,456.92,1073677,0.6986,0.098825,0,-1.0617,-1,0.022003,0.00162,0.008579,-0.103967,0.4451,0,0.1436,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-24,457.31,458.53,444.18,448.54,973271,0.6327,0.072433,0,-0.809,-1,0.019177,0.00272,0.00972,-0.121682,0.4905,0,0.1546,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-25,450.7,457.55,448.54,450.35,704092,0.4583,0.08718,0,0.2361,-1,0.000777,0.01521,0.004019,-0.129124,0.4795,0,0.1343,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-26,450.35,456.52,446.97,455.55,847880,0.5528,0.092495,0,0.5976,1,0.011547,0.002129,0.00742,-0.123876,0.5965,0,0.1353,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-27,455.59,463.82,452.9,461.18,703216,0.4585,0.082002,0,0.6339,1,0.01227,0.005724,0.005833,-0.160511,0.8173,0,0.1339,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-04-28,465.34,480.09,464.75,470.29,2607948,1.6939,0.065796,0,0.9784,1,0.010637,0.020838,0.001255,-0.12849,2.2342,0,0.0765,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-02,473.72,484.01,473.23,477.3,2112246,1.368,0.035911,0,0.746,1,0.007557,0.014058,0.001027,-0.141123,1.5141,0,0.124,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-03,476.07,488.61,472.79,479.6,1185103,0.7671,0.021896,0,0.2744,1,0.007415,0.018786,0.006839,-0.115285,0.7947,0,0.1498,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-04,492.83,497.09,478.57,487.68,3966042,2.5487,0.034377,0,0.832,-1,0.01045,0.008735,0.01868,-0.133202,1.8753,0,0.0511,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-05,487.44,501.25,482.64,490.18,2906461,1.8563,0.0223,0,0.2789,1,0.005621,0.022584,0.009792,-0.128437,1.1373,0,0.1119,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-08,494.54,516.73,492.63,509.48,5157621,3.2554,0.07449,0,1.8681,1,0.03021,0.01423,0.003749,-0.149619,1.6825,0,0.0451,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-09,510.41,516.68,505.76,511.15,4720804,2.9479,0.102795,0,0.1781,1,0.00145,0.010819,0.009097,-0.161539,1.316,0,0.0618,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-10,513.3,533.98,509.09,528.49,5824799,3.5905,0.13145,0,1.5996,1,0.029593,0.010388,0.007966,-0.186181,1.2901,0,0.0415,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-11,534.22,542.99,527.26,536.18,6443101,3.9155,0.137938,0,0.6904,1,0.003669,0.012701,0.012981,-0.195358,1.2859,0,0.0214,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-12,558.47,562.39,519.28,523.2,9554296,5.6987,0.106093,0,-1.1251,-1,0.063155,0.007492,0.007492,-0.168611,1.507,1,-0.0285,0,0,0.0567,0.07,LOW_QUALITY_FLAG
SONACOMS,2023-05-15,525.16,540.83,513.65,535.54,4609617,2.7261,0.113706,0,1.1084,1,0.019765,0.009878,0.021492,-0.178958,0.7398,0,0.0353,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-16,537.41,543.28,530.06,531.92,3025986,1.7815,0.102721,0,-0.3207,-1,0.010216,0.011035,0.003497,-0.141647,0.5136,0,0.1186,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-17,533.34,533.34,517.32,522.07,2825295,1.6576,0.081927,0,-0.8748,-1,0.021131,0.0,0.009098,-0.150473,0.5339,0,0.1083,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-18,524.18,526.77,509.48,511.0,2651993,1.5517,0.055899,0,-0.9941,-1,0.025144,0.005068,0.002975,-0.169176,0.585,0,0.1159,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-19,512.52,533.73,507.52,524.96,4011432,2.3304,0.063809,0,1.2828,1,0.024272,0.016706,0.009525,-0.118369,1.1713,0,0.1023,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-22,524.18,531.33,516.88,518.15,2036828,1.1793,0.01618,0,-0.6131,-1,0.011504,0.013799,0.002451,-0.166478,0.6999,0,0.1481,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-23,521.97,533.68,517.81,519.13,2501404,1.4435,0.013043,0,0.0987,-1,0.005441,0.022557,0.002543,-0.181422,0.8916,0,0.1215,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-24,519.23,528.54,516.73,521.14,2403036,1.3816,-0.010906,0,0.1862,1,0.003679,0.0142,0.004797,-0.15897,0.8832,0,0.1211,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-25,522.41,530.64,515.12,517.66,2665334,1.529,-0.035078,0,-0.3327,-1,0.009092,0.015898,0.004907,-0.123307,0.9786,0,0.1481,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-26,522.12,536.72,519.33,528.24,3362864,1.9195,0.000815,0,0.9923,1,0.011721,0.016053,0.005282,-0.139162,1.2965,0,0.1153,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-29,529.52,541.42,524.18,525.65,3976323,2.2547,-0.028453,0,-0.2503,-1,0.007309,0.022639,0.002797,-0.10324,1.3335,0,0.1113,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-30,533.68,533.68,521.24,522.32,4055275,2.281,-0.036027,0,-0.3157,-1,0.021286,0.0,0.002068,-0.088177,1.2316,0,0.1272,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-05-31,501.55,561.85,492.83,530.6,81135054,38.6776,-0.002048,0,0.7673,1,0.05792,0.058896,0.016434,-0.088186,4.2615,1,-0.1298,0,0,0.3824,0.0,LOW_QUALITY_FLAG
SONACOMS,2023-06-01,528.1,535.94,514.87,519.48,5829695,2.7517,-0.002133,0,-1.0399,-1,0.016323,0.015092,0.008874,-0.061691,0.2963,0,0.0872,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2023-06-02,525.16,526.19,517.42,520.99,2220700,1.0453,-0.025001,0,0.1343,-1,0.00794,0.001977,0.006852,-0.076579,0.1142,0,0.1452,0,0,0.0,0.0,NO_SIGNAL
